customer_id,first_name,last_name,email,home_zipcode,borough,preferred_channel,last_visit_date,visit_frequency,avg_order_value,dietary_prefs,interests
C001,Emma,Rodriguez,emma.rodriguez@email.com,10014,Manhattan,email,2025-11-25,loyal,18.50,none,"coffee,pastries"
C002,Michael,Chen,michael.chen@email.com,10011,Manhattan,email,2025-11-26,loyal,22.75,vegan,"coffee,seasonal events"
C003,Sarah,Johnson,sarah.j@email.com,10012,Manhattan,SMS,2025-11-24,loyal,15.30,gluten-free,"pastries,coffee"
C004,David,Kim,d.kim@email.com,10013,Manhattan,email,2025-11-27,loyal,28.90,none,"coffee,pastries,seasonal events"
C005,Lisa,Patel,lisa.patel@email.com,10014,Manhattan,email,2025-11-23,loyal,19.80,none,"pastries,coffee"
C006,James,Wilson,james.w@email.com,10003,Manhattan,SMS,2025-11-26,loyal,24.50,none,"coffee,seasonal events"
C007,Maria,Garcia,maria.garcia@email.com,10009,Manhattan,email,2025-11-25,loyal,17.25,vegan,pastries
C008,Robert,Taylor,rob.taylor@email.com,10014,Manhattan,email,2025-11-27,loyal,31.40,none,"coffee,pastries,seasonal events"
C009,Jennifer,Lee,jennifer.lee@email.com,10012,Manhattan,email,2025-11-24,loyal,21.60,none,"coffee,pastries"
C010,William,Brown,w.brown@email.com,10011,Manhattan,SMS,2025-11-26,loyal,16.75,gluten-free,coffee
C011,Amanda,Martinez,amanda.m@email.com,10014,Manhattan,email,2025-11-25,loyal,26.30,none,"pastries,seasonal events"
C012,Christopher,Anderson,chris.anderson@email.com,10003,Manhattan,email,2025-11-23,loyal,19.90,none,"coffee,pastries"
C013,Jessica,Thomas,jessica.thomas@email.com,10013,Manhattan,email,2025-11-27,loyal,23.80,vegan,"coffee,seasonal events"
C014,Daniel,Moore,daniel.moore@email.com,10012,Manhattan,SMS,2025-11-24,loyal,20.45,none,coffee
C015,Emily,Jackson,emily.jackson@email.com,10014,Manhattan,email,2025-11-26,loyal,18.70,none,"pastries,coffee"
C016,Matthew,White,matt.white@email.com,10011,Manhattan,email,2025-11-25,loyal,27.90,none,"coffee,pastries,seasonal events"
C017,Ashley,Harris,ashley.harris@email.com,10009,Manhattan,SMS,2025-11-27,loyal,22.15,gluten-free,"pastries,coffee"
C018,Joshua,Martin,joshua.martin@email.com,10014,Manhattan,email,2025-11-23,loyal,19.35,none,coffee
C019,Rachel,Thompson,rachel.t@email.com,10012,Manhattan,email,2025-11-26,loyal,25.60,vegan,"coffee,seasonal events"
C020,Andrew,Garcia,andrew.garcia@email.com,10013,Manhattan,email,2025-11-24,loyal,21.80,none,"pastries,coffee"
C021,Lauren,Martinez,lauren.m@email.com,10014,Manhattan,SMS,2025-11-27,loyal,17.95,none,pastries
C022,Kevin,Robinson,kevin.robinson@email.com,10003,Manhattan,email,2025-11-25,loyal,29.40,none,"coffee,pastries,seasonal events"
C023,Samantha,Clark,samantha.clark@email.com,10011,Manhattan,email,2025-11-26,loyal,20.20,none,"coffee,pastries"
C024,Ryan,Lewis,ryan.lewis@email.com,10014,Manhattan,email,2025-11-23,loyal,16.50,gluten-free,coffee
C025,Nicole,Walker,nicole.walker@email.com,10012,Manhattan,SMS,2025-11-27,loyal,24.75,none,"pastries,seasonal events"
C026,Brandon,Hall,brandon.hall@email.com,10009,Manhattan,email,2025-11-24,loyal,18.90,vegan,coffee
C027,Stephanie,Allen,stephanie.allen@email.com,10014,Manhattan,email,2025-11-26,loyal,22.30,none,"coffee,pastries"
C028,Justin,Young,justin.young@email.com,10013,Manhattan,email,2025-11-25,loyal,26.80,none,"coffee,seasonal events"
C029,Michelle,Hernandez,michelle.h@email.com,10011,Manhattan,SMS,2025-11-27,loyal,19.60,none,pastries
C030,Tyler,King,tyler.king@email.com,10014,Manhattan,email,2025-11-23,loyal,21.40,none,"coffee,pastries"
C031,Rebecca,Wright,rebecca.wright@email.com,10012,Manhattan,email,2025-11-26,loyal,25.10,gluten-free,"coffee,seasonal events"
C032,Jacob,Lopez,jacob.lopez@email.com,10003,Manhattan,email,2025-11-24,loyal,17.85,none,coffee
C033,Anna,Hill,anna.hill@email.com,10014,Manhattan,SMS,2025-11-27,loyal,23.55,vegan,"pastries,coffee"
C034,Nathan,Scott,nathan.scott@email.com,10009,Manhattan,email,2025-11-25,loyal,28.20,none,"coffee,pastries,seasonal events"
C035,Victoria,Green,victoria.green@email.com,10011,Manhattan,email,2025-11-26,loyal,20.95,none,"coffee,pastries"
C036,Zachary,Adams,zach.adams@email.com,10014,Manhattan,email,2025-11-23,loyal,16.25,none,pastries
C037,Megan,Baker,megan.baker@email.com,10013,Manhattan,SMS,2025-11-27,loyal,24.40,none,"coffee,seasonal events"
C038,Austin,Gonzalez,austin.g@email.com,10012,Manhattan,email,2025-11-24,loyal,19.15,gluten-free,coffee
C039,Hannah,Nelson,hannah.nelson@email.com,10014,Manhattan,email,2025-11-26,loyal,22.70,none,"pastries,coffee"
C040,Dylan,Carter,dylan.carter@email.com,10011,Manhattan,email,2025-11-25,loyal,27.50,vegan,"coffee,seasonal events"
C041,Grace,Mitchell,grace.mitchell@email.com,10003,Manhattan,SMS,2025-11-27,loyal,18.35,none,coffee
C042,Ethan,Perez,ethan.perez@email.com,10014,Manhattan,email,2025-11-23,loyal,21.90,none,"pastries,coffee"
C043,Olivia,Roberts,olivia.roberts@email.com,10009,Manhattan,email,2025-11-26,loyal,25.65,none,"coffee,seasonal events"
C044,Logan,Turner,logan.turner@email.com,10012,Manhattan,email,2025-11-24,loyal,19.80,gluten-free,pastries
C045,Chloe,Phillips,chloe.phillips@email.com,10014,Manhattan,SMS,2025-11-27,loyal,23.25,none,"coffee,pastries"
C046,Mason,Campbell,mason.campbell@email.com,10013,Manhattan,email,2025-11-25,loyal,17.60,vegan,coffee
C047,Sophia,Parker,sophia.parker@email.com,10011,Manhattan,email,2025-11-26,loyal,26.95,none,"coffee,pastries,seasonal events"
C048,Lucas,Evans,lucas.evans@email.com,10014,Manhattan,email,2025-11-23,loyal,20.40,none,"coffee,pastries"
C049,Ava,Edwards,ava.edwards@email.com,10012,Manhattan,SMS,2025-11-27,loyal,18.85,none,pastries
C050,Jackson,Collins,jackson.collins@email.com,10003,Manhattan,email,2025-11-24,loyal,24.15,none,"coffee,seasonal events"
C051,Isabella,Stewart,isabella.stewart@email.com,10014,Manhattan,email,2025-11-26,loyal,21.50,gluten-free,"coffee,pastries"
C052,Aiden,Sanchez,aiden.sanchez@email.com,10009,Manhattan,email,2025-11-25,loyal,28.75,none,"coffee,pastries,seasonal events"
C053,Mia,Morris,mia.morris@email.com,10011,Manhattan,SMS,2025-11-27,loyal,19.25,vegan,coffee
C054,Carter,Rogers,carter.rogers@email.com,10014,Manhattan,email,2025-11-23,loyal,22.90,none,"pastries,coffee"
C055,Ella,Reed,ella.reed@email.com,10013,Manhattan,email,2025-11-26,loyal,17.40,none,coffee
C056,Jayden,Cook,jayden.cook@email.com,10012,Manhattan,email,2025-11-24,loyal,25.80,none,"coffee,seasonal events"
C057,Aria,Morgan,aria.morgan@email.com,10014,Manhattan,SMS,2025-11-27,loyal,20.70,gluten-free,pastries
C058,Liam,Bell,liam.bell@email.com,10011,Manhattan,email,2025-11-25,loyal,23.45,none,"coffee,pastries"
C059,Scarlett,Murphy,scarlett.murphy@email.com,10003,Manhattan,email,2025-11-26,loyal,18.95,vegan,"coffee,seasonal events"
C060,Noah,Bailey,noah.bailey@email.com,10014,Manhattan,email,2025-11-23,loyal,27.20,none,"coffee,pastries,seasonal events"
C061,Madison,Rivera,madison.rivera@email.com,10009,Manhattan,SMS,2025-11-27,loyal,21.35,none,"coffee,pastries"
C062,Oliver,Cooper,oliver.cooper@email.com,10012,Manhattan,email,2025-11-24,loyal,16.80,none,pastries
C063,Lily,Richardson,lily.richardson@email.com,10014,Manhattan,email,2025-11-26,loyal,24.60,gluten-free,"coffee,seasonal events"
C064,Elijah,Cox,elijah.cox@email.com,10013,Manhattan,email,2025-11-25,loyal,19.50,none,coffee
C065,Avery,Howard,avery.howard@email.com,10011,Manhattan,SMS,2025-11-27,loyal,22.85,vegan,"pastries,coffee"
C066,Benjamin,Ward,benjamin.ward@email.com,10014,Manhattan,email,2025-11-23,loyal,26.40,none,"coffee,pastries,seasonal events"
C067,Harper,Torres,harper.torres@email.com,10012,Manhattan,email,2025-11-26,loyal,18.20,none,"coffee,pastries"
C068,Sebastian,Peterson,sebastian.p@email.com,10003,Manhattan,email,2025-11-24,loyal,21.75,none,coffee
C069,Evelyn,Gray,evelyn.gray@email.com,10014,Manhattan,SMS,2025-11-27,loyal,25.30,gluten-free,"pastries,seasonal events"
C070,Henry,Ramirez,henry.ramirez@email.com,10009,Manhattan,email,2025-11-25,loyal,19.90,none,"coffee,pastries"
C071,Abigail,James,abigail.james@email.com,10011,Manhattan,email,2025-11-26,loyal,23.65,vegan,coffee
C072,Alexander,Watson,alex.watson@email.com,10014,Manhattan,email,2025-11-23,loyal,28.10,none,"coffee,pastries,seasonal events"
C073,Emily,Brooks,emily.brooks@email.com,10013,Manhattan,SMS,2025-11-27,loyal,20.55,none,"coffee,pastries"
C074,Michael,Kelly,m.kelly@email.com,10012,Manhattan,email,2025-11-24,loyal,17.70,gluten-free,pastries
C075,Charlotte,Sanders,charlotte.sanders@email.com,10014,Manhattan,email,2025-11-26,loyal,24.95,none,"coffee,seasonal events"
C076,Daniel,Price,daniel.price@email.com,10011,Manhattan,email,2025-11-25,loyal,21.20,none,"coffee,pastries"
C077,Amelia,Bennett,amelia.bennett@email.com,10003,Manhattan,SMS,2025-11-27,loyal,18.45,vegan,coffee
C078,Matthew,Wood,matthew.wood@email.com,10014,Manhattan,email,2025-11-23,loyal,26.75,none,"coffee,pastries,seasonal events"
C079,Sofia,Barnes,sofia.barnes@email.com,10009,Manhattan,email,2025-11-26,loyal,22.40,none,"coffee,pastries"
C080,Joseph,Ross,joseph.ross@email.com,10012,Manhattan,email,2025-11-24,loyal,19.65,gluten-free,coffee
C081,Victoria,Henderson,v.henderson@email.com,10014,Manhattan,SMS,2025-11-27,loyal,25.50,none,"pastries,seasonal events"
C082,David,Coleman,d.coleman@email.com,10013,Manhattan,email,2025-11-25,loyal,17.95,vegan,coffee
C083,Layla,Jenkins,layla.jenkins@email.com,10011,Manhattan,email,2025-11-26,loyal,23.80,none,"coffee,pastries"
C084,Samuel,Perry,samuel.perry@email.com,10014,Manhattan,email,2025-11-23,loyal,20.30,none,"coffee,seasonal events"
C085,Zoey,Powell,zoey.powell@email.com,10012,Manhattan,SMS,2025-11-27,loyal,27.60,none,"coffee,pastries,seasonal events"
C086,Christopher,Long,c.long@email.com,10003,Manhattan,email,2025-11-24,loyal,18.75,gluten-free,pastries
C087,Penelope,Patterson,penelope.p@email.com,10014,Manhattan,email,2025-11-26,loyal,22.10,none,"coffee,pastries"
C088,Jack,Hughes,jack.hughes@email.com,10009,Manhattan,email,2025-11-25,loyal,24.85,vegan,"coffee,seasonal events"
C089,Riley,Flores,riley.flores@email.com,10011,Manhattan,SMS,2025-11-27,loyal,19.40,none,coffee
C090,Luke,Washington,luke.washington@email.com,10014,Manhattan,email,2025-11-23,loyal,21.95,none,"pastries,coffee"
C091,Nora,Butler,nora.butler@email.com,10013,Manhattan,email,2025-11-26,loyal,26.20,gluten-free,"coffee,seasonal events"
C092,Owen,Simmons,owen.simmons@email.com,10012,Manhattan,email,2025-11-24,loyal,18.60,none,"coffee,pastries"
C093,Zoe,Foster,zoe.foster@email.com,10014,Manhattan,SMS,2025-11-27,loyal,23.35,none,"coffee,pastries"
C094,Wyatt,Gonzales,wyatt.gonzales@email.com,10011,Manhattan,email,2025-11-25,loyal,17.25,vegan,coffee
C095,Hannah,Bryant,h.bryant@email.com,10003,Manhattan,email,2025-11-26,loyal,25.90,none,"coffee,pastries,seasonal events"
C096,Gabriel,Alexander,gabriel.a@email.com,10014,Manhattan,email,2025-11-23,loyal,20.80,none,"coffee,pastries"
C097,Addison,Russell,addison.russell@email.com,10009,Manhattan,SMS,2025-11-27,loyal,22.55,gluten-free,pastries
C098,Julian,Griffin,julian.griffin@email.com,10012,Manhattan,email,2025-11-24,loyal,28.35,none,"coffee,pastries,seasonal events"
C099,Audrey,Diaz,audrey.diaz@email.com,10014,Manhattan,email,2025-11-26,loyal,19.70,vegan,"coffee,seasonal events"
C100,Leo,Hayes,leo.hayes@email.com,10013,Manhattan,email,2025-11-25,loyal,24.25,none,"coffee,pastries"
C101,Brooklyn,Myers,brooklyn.myers@email.com,10011,Manhattan,SMS,2025-11-27,loyal,21.45,none,coffee
C102,Thomas,Ford,thomas.ford@email.com,10014,Manhattan,email,2025-11-23,loyal,17.80,gluten-free,"pastries,coffee"
C103,Bella,Hamilton,bella.hamilton@email.com,10012,Manhattan,email,2025-11-26,loyal,26.65,none,"coffee,seasonal events"
C104,Isaac,Graham,isaac.graham@email.com,10003,Manhattan,email,2025-11-24,loyal,20.15,none,"coffee,pastries"
C105,Claire,Sullivan,claire.sullivan@email.com,10014,Manhattan,SMS,2025-11-27,loyal,23.90,vegan,"coffee,pastries"
C106,Caleb,Wallace,caleb.wallace@email.com,10009,Manhattan,email,2025-11-25,loyal,18.50,none,coffee
C107,Skylar,Woods,skylar.woods@email.com,10011,Manhattan,email,2025-11-26,loyal,25.40,gluten-free,"pastries,seasonal events"
C108,Ryan,Cole,ryan.cole@email.com,10014,Manhattan,email,2025-11-23,loyal,22.70,none,"coffee,pastries"
C109,Violet,West,violet.west@email.com,10013,Manhattan,SMS,2025-11-27,loyal,19.85,none,coffee
C110,Cameron,Jordan,cameron.jordan@email.com,10012,Manhattan,email,2025-11-24,loyal,27.15,none,"coffee,pastries,seasonal events"
C111,Lucy,Owens,lucy.owens@email.com,10014,Manhattan,email,2025-11-26,loyal,21.60,vegan,"coffee,pastries"
C112,Connor,Reynolds,connor.reynolds@email.com,10011,Manhattan,email,2025-11-25,loyal,16.95,none,pastries
C113,Genesis,Fisher,genesis.fisher@email.com,10003,Manhattan,SMS,2025-11-27,loyal,24.50,gluten-free,"coffee,seasonal events"
C114,Adam,Ellis,adam.ellis@email.com,10014,Manhattan,email,2025-11-23,loyal,18.30,none,coffee
C115,Paisley,Nichols,paisley.nichols@email.com,10009,Manhattan,email,2025-11-26,loyal,22.95,none,"pastries,coffee"
C116,Nathaniel,Freeman,nathaniel.f@email.com,10012,Manhattan,email,2025-11-24,loyal,26.80,vegan,"coffee,seasonal events"
C117,Savannah,Webb,savannah.webb@email.com,10014,Manhattan,SMS,2025-11-27,loyal,20.45,none,"coffee,pastries"
C118,Christian,Tucker,christian.tucker@email.com,10013,Manhattan,email,2025-11-25,loyal,17.65,gluten-free,coffee
C119,Kennedy,Guzman,kennedy.guzman@email.com,10011,Manhattan,email,2025-11-26,loyal,25.20,none,"coffee,pastries,seasonal events"
C120,Hudson,Burns,hudson.burns@email.com,10014,Manhattan,email,2025-11-23,loyal,19.55,none,"coffee,pastries"
C121,Autumn,Crawford,autumn.crawford@email.com,10012,Manhattan,SMS,2025-11-27,loyal,23.70,none,pastries
C122,Eli,Dixon,eli.dixon@email.com,10003,Manhattan,email,2025-11-24,loyal,28.45,vegan,"coffee,seasonal events"
C123,Stella,Murray,stella.murray@email.com,10014,Manhattan,email,2025-11-26,loyal,21.30,none,"coffee,pastries"
C124,Colton,Ellis,colton.ellis@email.com,10009,Manhattan,email,2025-11-25,loyal,16.40,gluten-free,coffee
C125,Maya,Marshall,maya.marshall@email.com,10011,Manhattan,SMS,2025-11-27,loyal,24.90,none,"pastries,seasonal events"
C126,Jaxon,Owens,jaxon.owens@email.com,10014,Manhattan,email,2025-11-23,loyal,20.75,none,"coffee,pastries"
C127,Natalie,McDonald,natalie.mcdonald@email.com,10013,Manhattan,email,2025-11-26,loyal,18.95,vegan,coffee
C128,Aaron,Garza,aaron.garza@email.com,10012,Manhattan,email,2025-11-24,loyal,27.35,none,"coffee,pastries,seasonal events"
C129,Aaliyah,Cruz,aaliyah.cruz@email.com,10014,Manhattan,SMS,2025-11-27,loyal,22.20,gluten-free,"coffee,pastries"
C130,Ian,Jimenez,ian.jimenez@email.com,10011,Manhattan,email,2025-11-25,loyal,19.10,none,coffee
C131,Madelyn,Mendoza,madelyn.mendoza@email.com,10003,Manhattan,email,2025-11-26,loyal,25.65,none,"pastries,seasonal events"
C132,Jonathan,Meyer,jonathan.meyer@email.com,10014,Manhattan,email,2025-11-23,loyal,21.85,vegan,"coffee,pastries"
C133,Elena,Fox,elena.fox@email.com,10009,Manhattan,SMS,2025-11-27,loyal,17.50,none,coffee
C134,Landon,Mills,landon.mills@email.com,10012,Manhattan,email,2025-11-24,loyal,24.40,gluten-free,"coffee,seasonal events"
C135,Hazel,Day,hazel.day@email.com,10014,Manhattan,email,2025-11-26,loyal,23.15,none,"coffee,pastries"
C136,Adrian,Castillo,adrian.castillo@email.com,10013,Manhattan,email,2025-11-25,occasional,14.20,none,coffee
C137,Ivy,Hunt,ivy.hunt@email.com,10011,Manhattan,SMS,2025-11-19,occasional,11.75,vegan,pastries
C138,Josiah,Lawson,josiah.lawson@email.com,10014,Manhattan,email,2025-11-15,occasional,16.30,none,"coffee,pastries"
C139,Alice,Palmer,alice.palmer@email.com,10012,Manhattan,email,2025-11-20,occasional,13.80,gluten-free,coffee
C140,Xavier,Black,xavier.black@email.com,10003,Manhattan,email,2025-11-18,occasional,15.95,none,"coffee,seasonal events"
C141,Piper,Hale,piper.hale@email.com,10014,Manhattan,SMS,2025-11-22,occasional,12.40,none,pastries
C142,Easton,Herrera,easton.herrera@email.com,10009,Manhattan,email,2025-11-17,occasional,14.65,vegan,coffee
C143,Ruby,Boyd,ruby.boyd@email.com,10011,Manhattan,email,2025-11-21,occasional,17.20,none,"coffee,pastries"
C144,Bentley,Mason,bentley.mason@email.com,10014,Manhattan,email,2025-11-16,occasional,13.50,gluten-free,pastries
C145,Serenity,Knight,serenity.knight@email.com,10013,Manhattan,SMS,2025-11-19,occasional,15.85,none,coffee
C146,Jameson,Morales,jameson.morales@email.com,10012,Manhattan,email,2025-11-23,occasional,11.90,none,"coffee,pastries"
C147,Willow,Dean,willow.dean@email.com,10014,Manhattan,email,2025-11-14,occasional,16.75,vegan,"pastries,seasonal events"
